epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1059.7,0.66726,0.51547,1.06896,0.92199,0.88395,0.93202,0.73285,0.66854,0.55045,1.06358,0.00155478,0.00155478,0.00155478
70,1076.52,0.67822,0.52452,1.07907,0.91583,0.92585,0.93992,0.75068,0.67747,0.54683,1.05855,0.00155313,0.00155313,0.00155313
71,1093.63,0.68563,0.52214,1.0894,0.95774,0.8906,0.94257,0.73177,0.70809,0.52594,1.09647,0.00155148,0.00155148,0.00155148
72,1107.23,0.67535,0.52208,1.07398,0.94577,0.90227,0.93743,0.73231,0.70897,0.54035,1.12216,0.00154983,0.00154983,0.00154983
73,1122.05,0.68248,0.51843,1.08306,0.94233,0.88172,0.92983,0.73676,0.71226,0.53678,1.11054,0.00154818,0.00154818,0.00154818
74,1136.45,0.68375,0.50957,1.07067,0.93669,0.89853,0.94409,0.7599,0.65326,0.51779,1.04215,0.00154653,0.00154653,0.00154653
75,1156.49,0.64865,0.50031,1.05011,0.94955,0.88159,0.93438,0.73502,0.66305,0.54833,1.04556,0.00154488,0.00154488,0.00154488
76,1169.5,0.67079,0.51343,1.06642,0.91751,0.89676,0.93305,0.72627,0.69852,0.5567,1.07009,0.00154323,0.00154323,0.00154323
77,1181.95,0.64374,0.49025,1.05154,0.95169,0.88516,0.94005,0.74715,0.66763,0.53365,1.05073,0.00154157,0.00154157,0.00154157
78,1192.47,0.6873,0.53179,1.07965,0.95762,0.87988,0.93763,0.75629,0.66725,0.57411,1.06969,0.00153992,0.00153992,0.00153992
79,1203.4,0.64339,0.49597,1.04947,0.9374,0.91261,0.93925,0.74084,0.67749,0.52283,1.06018,0.00153827,0.00153827,0.00153827
80,1216.47,0.65963,0.51393,1.06454,0.92608,0.89977,0.93895,0.74486,0.65014,0.56393,1.04681,0.00153662,0.00153662,0.00153662
81,1227.78,0.64798,0.50181,1.05581,0.931,0.91643,0.9442,0.75751,0.64953,0.53745,1.02645,0.00153497,0.00153497,0.00153497
82,1243.47,0.63708,0.47782,1.04802,0.93396,0.90732,0.94443,0.74571,0.67033,0.53817,1.06069,0.00153332,0.00153332,0.00153332
83,1257.5,0.64662,0.48944,1.0512,0.9412,0.92178,0.95108,0.7694,0.6476,0.48372,1.02712,0.00153167,0.00153167,0.00153167
84,1276.94,0.63995,0.4905,1.04566,0.94911,0.91484,0.95294,0.76318,0.62447,0.48491,1.00777,0.00153002,0.00153002,0.00153002
85,1289.66,0.62244,0.47928,1.04181,0.94434,0.92178,0.94949,0.74778,0.66779,0.4882,1.04279,0.00152837,0.00152837,0.00152837
86,1300.4,0.60406,0.45987,1.01388,0.9519,0.92317,0.94347,0.76695,0.65898,0.52507,1.02835,0.00152672,0.00152672,0.00152672
87,1315.2,0.6297,0.48672,1.03515,0.95785,0.90759,0.9544,0.74429,0.69454,0.49909,1.05864,0.00152507,0.00152507,0.00152507
88,1328.6,0.62784,0.49189,1.04856,0.9394,0.91595,0.94926,0.75984,0.63526,0.48848,1.02028,0.00152342,0.00152342,0.00152342
89,1340.76,0.63373,0.49727,1.03855,0.926,0.91198,0.94707,0.74769,0.64716,0.5162,1.03405,0.00152177,0.00152177,0.00152177
90,1354.26,0.62261,0.47661,1.02603,0.95605,0.90593,0.94557,0.75649,0.63085,0.5343,1.02927,0.00152012,0.00152012,0.00152012
91,1367.11,0.63753,0.48863,1.04797,0.93123,0.92254,0.94541,0.76363,0.64429,0.48472,1.03206,0.00151847,0.00151847,0.00151847
92,1379.11,0.63659,0.46691,1.04366,0.93234,0.90688,0.93673,0.75862,0.64533,0.48693,1.05958,0.00151682,0.00151682,0.00151682
93,1391.25,0.6222,0.46669,1.03065,0.92167,0.93339,0.95573,0.78628,0.63135,0.48534,1.02486,0.00151517,0.00151517,0.00151517
94,1408.19,0.62145,0.49847,1.0312,0.94168,0.92093,0.94814,0.78051,0.62961,0.48021,1.01254,0.00151352,0.00151352,0.00151352
95,1419.67,0.64467,0.50348,1.05412,0.94449,0.92493,0.95731,0.74983,0.68292,0.46984,1.02552,0.00151187,0.00151187,0.00151187
96,1434.44,0.62111,0.48316,1.02592,0.92557,0.90749,0.93922,0.74413,0.65938,0.5041,1.01675,0.00151022,0.00151022,0.00151022
97,1448.98,0.61666,0.47081,1.02868,0.93228,0.92004,0.95124,0.76089,0.63408,0.48985,1.02078,0.00150857,0.00150857,0.00150857
98,1463.41,0.60389,0.43891,1.00969,0.94631,0.91064,0.96016,0.77794,0.64269,0.49789,1.00381,0.00150692,0.00150692,0.00150692
99,1478.67,0.62869,0.46515,1.02694,0.94847,0.92506,0.95528,0.77544,0.64113,0.49177,1.02875,0.00150527,0.00150527,0.00150527
100,1493.18,0.61543,0.48145,1.0223,0.9425,0.93508,0.96225,0.78977,0.62169,0.46007,1.01529,0.00150362,0.00150362,0.00150362
101,1507.88,0.62695,0.46792,1.02476,0.93887,0.94507,0.961,0.7767,0.63772,0.44958,1.02334,0.00150197,0.00150197,0.00150197
102,1519.56,0.59218,0.44895,0.99288,0.94715,0.93737,0.96042,0.78255,0.62533,0.4834,1.00754,0.00150032,0.00150032,0.00150032
