epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,326.021,0.7166,0.58473,1.09557,0.89424,0.85532,0.90872,0.70184,0.7096,0.61458,1.0581,0.00153002,0.00153002,0.00153002
85,329.577,0.7328,0.5854,1.11367,0.91193,0.87702,0.91873,0.69588,0.73568,0.58319,1.07639,0.00152837,0.00152837,0.00152837
86,333.193,0.69935,0.55343,1.06845,0.92088,0.90579,0.92006,0.71415,0.67702,0.55748,1.04138,0.00152672,0.00152672,0.00152672
87,337.418,0.73028,0.57908,1.10167,0.91858,0.88418,0.92307,0.7099,0.73032,0.55284,1.05852,0.00152507,0.00152507,0.00152507
88,341.099,0.73226,0.59383,1.09531,0.90683,0.86983,0.91069,0.7087,0.71789,0.54738,1.04495,0.00152342,0.00152342,0.00152342
89,344.723,0.729,0.59119,1.09263,0.91171,0.88488,0.91898,0.70934,0.69139,0.60219,1.02079,0.00152177,0.00152177,0.00152177
90,348.379,0.69355,0.56447,1.06846,0.91535,0.89469,0.92441,0.72032,0.68561,0.53702,1.03402,0.00152012,0.00152012,0.00152012
91,352.367,0.72419,0.59286,1.09559,0.89421,0.8619,0.91159,0.70687,0.6928,0.55024,1.04659,0.00151847,0.00151847,0.00151847
92,356.018,0.71378,0.58046,1.08747,0.88387,0.87556,0.92466,0.7283,0.68474,0.55423,1.04436,0.00151682,0.00151682,0.00151682
93,359.934,0.71332,0.56155,1.075,0.89806,0.88842,0.9278,0.72389,0.68997,0.53266,1.03405,0.00151517,0.00151517,0.00151517
94,363.581,0.71213,0.57298,1.0771,0.94629,0.89773,0.93271,0.7385,0.68994,0.56586,1.03827,0.00151352,0.00151352,0.00151352
95,367.492,0.73318,0.5812,1.0981,0.94106,0.89099,0.9277,0.73235,0.68621,0.52288,1.02135,0.00151187,0.00151187,0.00151187
96,371.455,0.69965,0.55566,1.06492,0.90187,0.87801,0.91254,0.71514,0.70556,0.54003,1.04017,0.00151022,0.00151022,0.00151022
97,375.096,0.68617,0.54901,1.06301,0.9269,0.8712,0.92071,0.72916,0.65575,0.53549,1.01296,0.00150857,0.00150857,0.00150857
98,378.716,0.69391,0.53484,1.06355,0.94047,0.90898,0.93924,0.73195,0.66064,0.51236,1.02811,0.00150692,0.00150692,0.00150692
99,382.322,0.7047,0.55973,1.07301,0.91444,0.91142,0.92731,0.73347,0.68195,0.54147,1.05265,0.00150527,0.00150527,0.00150527
100,385.931,0.69149,0.54488,1.06376,0.91691,0.91499,0.93114,0.7253,0.68639,0.56152,1.02593,0.00150362,0.00150362,0.00150362
101,389.537,0.71385,0.57117,1.06868,0.95198,0.90198,0.93962,0.71367,0.72149,0.52679,1.04506,0.00150197,0.00150197,0.00150197
102,393.145,0.69434,0.54836,1.0462,0.9457,0.88994,0.92735,0.72435,0.68779,0.52623,1.03268,0.00150032,0.00150032,0.00150032
